address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"9 KILN LANE, COTTESLOE",RES,Non Strata,4000000,2020-09-27,N,468
"256 MARMION ST, COTTESLOE",RES,Non Strata,4000000,2022-02-24,N,607.028
"18 CLARENDON ST, COTTESLOE",RES,Non Strata,4000000,2019-12-09,N,521
"2 CLARENDON ST, COTTESLOE",RES,Non Strata,4000000,2012-08-18,N,810
"8 ROSSER ST, COTTESLOE",RES,Non Strata,4000000,2022-04-06,N,885
"11 B BARSDEN ST, COTTESLOE",RES,Strata,4000000,2022-09-29,N,428
"14 DEANE ST, COTTESLOE",RES,Non Strata,4000000,2015-04-21,Y,569
"14 A DEANE ST, COTTESLOE",RES,Non Strata,4000000,2015-04-21,Y,136.866
"60 A BROOME ST, COTTESLOE",RES,Vacant,4000000,2022-11-30,N,472
"60 B BROOME ST, COTTESLOE",RES,Vacant,4000000,2022-12-06,N,472
"3/8 AVONMORE TCE, COTTESLOE",RES,Non Strata,3975000,2017-05-09,Y,364
"3/8 AVONMORE TCE, COTTESLOE",RES,Non Strata,3975000,2017-05-09,Y,3
"4 HAWKSTONE ST, COTTESLOE",RES,Non Strata,3950000,2016-05-09,N,726
"13 LILLIAN ST, COTTESLOE",RES,Non Strata,3950000,2022-12-12,N,492
"5 A PEARSE ST, COTTESLOE",RES,Non Strata,3950000,2008-08-31,Y,421
"L8 PEARSE ST, COTTESLOE",RES,Non Strata,3950000,2008-08-31,Y,7
"46 OZONE PDE, COTTESLOE",RES,Non Strata,3900000,2019-04-28,N,718.317
"167 BROOME ST, COTTESLOE",RES,Non Strata,3900000,2023-03-21,N,405
"261 MARMION ST, COTTESLOE",RES,Non Strata,3900000,2021-11-30,N,911
"40 HAWKSTONE ST, COTTESLOE",RES,Non Strata,3900000,2023-08-24,N,567
"36 MARGARET ST, COTTESLOE",RES,Non Strata,3875000,2021-12-13,N,424.92
"64 JOHN ST, COTTESLOE",RES,Non Strata,3850000,2019-07-02,N,619.675
"13 AVONMORE TCE, COTTESLOE",RES,Non Strata,3850000,2014-09-04,N,572
"10 ROSENDO ST, COTTESLOE",RES,Non Strata,3850000,2014-10-22,N,688
"18 REGINALD ST, COTTESLOE",RES,Non Strata,3825000,2022-06-07,N,631
"11 A HAMERSLEY ST, COTTESLOE",RES,Non Strata,3820000,2018-04-02,N,325
"4 GERALDINE ST, COTTESLOE",RES,Non Strata,3800000,2008-02-16,N,708.144
"11 TORRENS ST, COTTESLOE",RES,Non Strata,3800000,2021-04-19,N,409
"6 GRIVER ST, COTTESLOE",RES,Non Strata,3800000,2021-07-01,N,758.725
"41 HAWKSTONE ST, COTTESLOE",RES,Non Strata,3800000,2011-05-17,N,698
"180 BROOME ST, COTTESLOE",RES,Non Strata,3800000,2022-12-02,N,687
"5 FLORENCE ST, COTTESLOE",RES,Non Strata,3800000,2022-10-10,N,809.307
"9 NAPIER ST, COTTESLOE",RES,Non Strata,3800000,2018-11-03,N,567
"1 STANHOPE ST, COTTESLOE",RES,Non Strata,3800000,2012-08-14,N,761.315
"5 BEACH ST, COTTESLOE",RES,Non Strata,3800000,2019-05-28,N,774
"1 WEBB ST, COTTESLOE",RES,Non Strata,3800000,2016-04-02,N,1083
"4 HAINING AV, COTTESLOE",RES,Non Strata,3800000,2023-06-13,N,902.883
"573-575 STIRLING HWY, COTTESLOE",COM,Non Strata,3795000,2013-11-26,Y,374.334
