"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
930000,"2004-09-12","House","37 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
1035000,"1997-04-29","House","210 MARINE PDE, COTTESLOE","N",541.267,"COTTESLOE"
5100000,"2021-11-02","House","208 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
730000,"2002-11-09","House","35 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
885000,"1998-04-04","House","206 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
500000,"1998-04-30","House","33 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
3100000,"2013-05-21","House","204 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
4300000,"2007-02-21","House","202 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
1580000,"2003-04-23","House","200 MARINE PDE, COTTESLOE","N",343.983,"COTTESLOE"
750000,"2005-06-01","House","2 VERA VIEW PDE, COTTESLOE","N",338.924,"COTTESLOE"
375000,"1988-11-09","House","198 MARINE PDE, COTTESLOE","N",450.213,"COTTESLOE"
3875000,"2021-12-13","House","36 MARGARET ST, COTTESLOE","N",424.92,"COTTESLOE"
735000,"2002-08-10","House","38 MARGARET ST, COTTESLOE","N",384.451,"COTTESLOE"
1580000,"2016-04-05","House","40 MARGARET ST, COTTESLOE","N",341.454,"COTTESLOE"
1950000,"2008-11-22","House","42 MARGARET ST, COTTESLOE","N",298.456,"COTTESLOE"
1510000,"2003-01-04","House","26 OZONE PDE, COTTESLOE","N",741.081,"COTTESLOE"
1450000,"2003-05-30","House","28 OZONE PDE, COTTESLOE","N",741.081,"COTTESLOE"
140000,"1994-12-23","Empty block","24 OZONE PDE, COTTESLOE","N",655.085,"COTTESLOE"
792000,"2019-06-11","Strata","219 B BROOME ST, COTTESLOE","N",186,"COTTESLOE"
1000000,"2020-08-14","Strata","219 C BROOME ST, COTTESLOE","N",247,"COTTESLOE"
885000,"1997-08-06","House","221 BROOME ST, COTTESLOE","N",741.081,"COTTESLOE"
985000,"2019-02-21","Strata","219 A BROOME ST, COTTESLOE","N",254,"COTTESLOE"
1950000,"2012-12-15","House","223 BROOME ST, COTTESLOE","N",741.081,"COTTESLOE"
2900000,"2020-03-14","House","225 BROOME ST, COTTESLOE","N",741.081,"COTTESLOE"
3600000,"2011-11-19","House","36 OZONE PDE, COTTESLOE","N",741.081,"COTTESLOE"
2550000,"2006-03-29","House","231 BROOME ST, COTTESLOE","N",878,"COTTESLOE"
4400000,"2010-10-26","Empty block","38 OZONE PDE, COTTESLOE","N",741.081,"COTTESLOE"
1520000,"2017-12-08","House","46 MARGARET ST, COTTESLOE","N",217.519,"COTTESLOE"
990000,"2005-02-17","House","51 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
3700000,"2011-12-21","House","48 MARGARET ST, COTTESLOE","N",417.332,"COTTESLOE"
330000,"1997-05-29","House","49 MARGARET ST, COTTESLOE","N",364.217,"COTTESLOE"
1975000,"2007-07-10","House","53 MARGARET ST, COTTESLOE","N",341.454,"COTTESLOE"
1575000,"2017-05-03","House","57 MARGARET ST, COTTESLOE","N",255.458,"COTTESLOE"
10381,"2000-10-31","House","230 MARINE PDE, COTTESLOE","N",364.217,"COTTESLOE"
349000,"1997-09-03","House","55 MARGARET ST, COTTESLOE","N",298.456,"COTTESLOE"
1740000,"2022-02-22","House","59 MARGARET ST, COTTESLOE","N",212.46,"COTTESLOE"
2800000,"2009-12-23","House","230 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
232000,"1988-12-17","House","228 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
2750000,"2017-10-09","House","232 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
2650000,"2019-03-09","House","234 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
640000,"2000-06-09","House","236 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
171000,"1993-09-11","Strata","238 A BROOME ST, COTTESLOE","N",404,"COTTESLOE"
1525000,"2019-01-06","Strata","238 BROOME ST, COTTESLOE","N",244,"COTTESLOE"
4700000,"2022-02-24","House","49 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
5900000,"2023-08-31","House","47 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
2100000,"2013-10-18","House","51 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
2280000,"2018-11-04","House","46 BRIGHTON ST, COTTESLOE","N",629,"COTTESLOE"
6000000,"2023-06-18","House","44 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
185000,"1990-10-02","House","43 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
1862500,"2013-04-19","House","41 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
2275000,"2021-02-11","House","38 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
1825000,"2019-06-18","House","36 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
300000,"1993-01-22","House","34 BRIGHTON ST, COTTESLOE","N",644.968,"COTTESLOE"
2400000,"2020-08-16","House","37 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
545000,"1998-03-23","House","39 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
215000,"1989-02-16","House","33 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
750000,"2001-12-01","House","224 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
3060000,"2018-08-29","House","220 BROOME ST, COTTESLOE","N",647.497,"COTTESLOE"
1155000,"2013-05-31","Empty block","218 A BROOME ST, COTTESLOE","N",324,"COTTESLOE"
1055000,"2015-10-22","Empty block","218 BROOME ST, COTTESLOE","N",324,"COTTESLOE"
1775000,"2015-02-02","House","27 BRIGHTON ST, COTTESLOE","N",604.451,"COTTESLOE"
2670000,"2019-03-23","House","29 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
2450000,"2017-11-11","House","31 BRIGHTON ST, COTTESLOE","N",647.497,"COTTESLOE"
1480000,"2006-01-15","House","27 LYONS ST, COTTESLOE","N",477.997,"COTTESLOE"
730000,"2002-05-19","House","29 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
1100000,"2002-09-09","House","31 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
1902500,"2017-03-11","House","33 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
4350000,"2023-04-22","House","37 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
895000,"2003-04-14","House","39 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
990000,"2004-10-12","House","43 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
2525000,"2019-10-18","House","41 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
3200000,"2007-05-07","House","335 MARMION ST, COTTESLOE","N",685.436,"COTTESLOE"
510000,"1999-07-06","House","36 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
2400000,"2020-07-06","House","32 LYONS ST, COTTESLOE","N",450,"COTTESLOE"
1125000,"2005-10-01","House","34 LYONS ST, COTTESLOE","N",685.436,"COTTESLOE"
265000,"1992-07-28","House","337 MARMION ST, COTTESLOE","N",685.436,"COTTESLOE"
3250000,"2022-08-19","House","38 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
1800000,"2011-05-19","House","40 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
233000,"1993-06-01","House","42 LYONS ST, COTTESLOE","N",644.968,"COTTESLOE"
550000,"1993-03-06","House","339 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
3550000,"2010-06-14","House","343 MARMION ST, COTTESLOE","N",644.968,"COTTESLOE"
940000,"2004-04-24","House","28 LYONS ST, COTTESLOE","N",685.382,"COTTESLOE"
2280000,"2011-08-31","House","333 MARMION ST, COTTESLOE","N",685.436,"COTTESLOE"
3125000,"2023-08-04","House","26 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
515000,"2002-05-09","Strata","329 MARMION ST, COTTESLOE","N",662,"COTTESLOE"
1880000,"2009-08-05","House","336 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
1380000,"2016-06-16","House","338 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
1800000,"2010-08-20","House","342 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
467000,"1999-05-08","House","344 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
170000,"1988-07-20","House","346 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
1070000,"2002-09-10","House","348 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
560000,"1999-09-07","House","350 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
1550000,"2013-01-22","House","352 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
1820000,"2007-06-04","House","5 FEDERAL ST, COTTESLOE","N",574.148,"COTTESLOE"
1630000,"2020-05-08","House","2 A FEDERAL ST, COTTESLOE","N",500,"COTTESLOE"
1345000,"2020-11-10","House","44 NORTH ST, COTTESLOE","N",507,"COTTESLOE"
1375000,"2017-11-10","House","2 B FEDERAL ST, COTTESLOE","N",502,"COTTESLOE"
2830000,"2022-02-14","House","1 A FEDERAL ST, COTTESLOE","N",498,"COTTESLOE"
1351000,"2019-02-09","House","48 NORTH ST, COTTESLOE","N",516,"COTTESLOE"
1132500,"2009-12-03","House","50 NORTH ST, COTTESLOE","N",521,"COTTESLOE"
865000,"2004-08-07","House","3 FEDERAL ST, COTTESLOE","N",574.148,"COTTESLOE"
1650000,"2009-06-16","House","356 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
3460000,"2021-05-25","House","354 MARMION ST, COTTESLOE","N",574.148,"COTTESLOE"
