address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"47 MARGARET ST, COTTESLOE",residential,Non Strata,225000,1992-05-28,N,364.217
"49 MARGARET ST, COTTESLOE",residential,Non Strata,330000,1997-05-29,N,364.217
"45 MARGARET ST, COTTESLOE",residential,Non Strata,590000,2002-10-12,N,364.217
"222 MARINE PDE, COTTESLOE",residential,Non Strata,143711,2000-11-08,Y,364.217
"224 MARINE PDE, COTTESLOE",residential,Vacant,10381,2000-11-08,N,364.217
"224 MARINE PDE, COTTESLOE",residential,Vacant,143711,2000-11-08,Y,364.217
"230 MARINE PDE, COTTESLOE",residential,Non Strata,10381,2000-10-31,N,364.217
"226 MARINE PDE, COTTESLOE",residential,Non Strata,1600000,2001-10-19,Y,364.217
"55 MARGARET ST, COTTESLOE",residential,Non Strata,349000,1997-09-03,N,298.456
"228 MARINE PDE, COTTESLOE",residential,Non Strata,1600000,2001-10-19,Y,364.217
"53 MARGARET ST, COTTESLOE",residential,Non Strata,1975000,2007-07-10,N,341.454
"51 MARGARET ST, COTTESLOE",residential,Non Strata,990000,2005-02-17,N,364.217
"10/232 MARINE PDE, COTTESLOE",residential,Strata,310000,2023-02-17,N,728
"244 MARINE PDE, COTTESLOE",residential,Non Strata,5600000,2022-10-12,N,364.217
"248 MARINE PDE, COTTESLOE",residential,Non Strata,4500000,2018-11-11,N,513.445
"242 MARINE PDE, COTTESLOE",residential,Non Strata,3100000,2016-11-25,N,365
"28 FORREST ST, COTTESLOE",residential,Non Strata,4500000,2022-11-09,N,637
"32 FORREST ST, COTTESLOE",residential,Non Strata,4730000,2023-05-18,N,637
"29 JOHN ST, COTTESLOE",residential,Non Strata,3100000,2013-07-04,N,637
"9/1 DE BERNALES WALK, COTTESLOE",residential,Strata,945000,2023-08-28,N,1219.115
"3/1 DE BERNALES WALK, COTTESLOE",residential,Strata,835000,2023-02-27,N,1219.115
"23 FLORENCE ST, COTTESLOE",residential,Non Strata,1650000,2020-05-09,N,566
"20 WARNHAM RD, COTTESLOE",residential,Non Strata,420000,1993-03-23,Y,870
"1 GERALDINE ST, COTTESLOE",residential,Non Strata,5200000,2008-01-23,N,708.144
"2 C GADSDON ST, COTTESLOE",residential,Vacant,2150000,2021-06-23,N,207
"2 B GADSDON ST, COTTESLOE",residential,Vacant,2000000,2021-02-12,N,189
"1 A GERALDINE ST, COTTESLOE",residential,Non Strata,4750000,2021-04-19,N,355
"3/19 ERIC ST, COTTESLOE",residential,Strata,2550000,2015-10-13,N,1337
"21 ERIC ST, COTTESLOE",residential,Non Strata,2200000,2005-09-12,N,718.26
"2/21 ERIC ST, COTTESLOE",residential,Strata,3600000,2018-05-08,N,718.26
"18 ERIC ST, COTTESLOE",residential,Non Strata,1800000,2009-10-16,N,415
"4 HAMERSLEY ST, COTTESLOE",residential,Non Strata,750000,1999-09-28,N,574
"2/6 HAMERSLEY ST, COTTESLOE",residential,Strata,3300000,2011-11-18,N,1126
"4/6 HAMERSLEY ST, COTTESLOE",residential,Strata,5000000,2023-11-03,N,1126
"8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,800000,2024-02-20,Y,634.8
"3/8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,208500,1998-06-09,N,634.8
"8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,520000,2006-01-21,N,634.8
"5/8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,135000,1991-08-15,Y,634.8
"6/8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,110000,1990-01-13,N,634.8
"2/8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,185000,1994-07-16,N,634.8
"8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,800000,2024-02-20,Y,529.8
"8 HAMERSLEY ST, COTTESLOE",residential,Non Strata,395000,2002-11-11,Y,529.8
"1/9 TORRENS ST, COTTESLOE",residential,Strata,2200000,2013-11-28,N,1407
"12 HAMERSLEY ST, COTTESLOE",residential,Strata,4000000,2022-04-03,N,744
"12 A HAMERSLEY ST, COTTESLOE",residential,Strata,3250000,2024-02-22,N,744
"7 TORRENS ST, COTTESLOE",residential,Vacant,450000,1994-10-12,N,610
"1 TORRENS CT, COTTESLOE",residential,Non Strata,3050000,2010-11-02,N,479
"3/14 HAMERSLEY ST, COTTESLOE",residential,Strata,1825000,2022-12-19,N,1274
"2 A TORRENS CT, COTTESLOE",residential,Non Strata,3700000,2024-03-25,N,301
"2 A TORRENS CT, COTTESLOE",residential,Vacant,600000,2000-08-14,N,301
"2 TORRENS CT, COTTESLOE",residential,Non Strata,7100000,2020-08-28,N,527
"20 HAMERSLEY ST, COTTESLOE",residential,Non Strata,455000,1990-09-20,N,627.213
"18 HAMERSLEY ST, COTTESLOE",residential,Non Strata,1800000,2002-12-26,N,336
"6/1 HAWKSTONE ST, COTTESLOE",residential,Strata,1000000,2022-11-09,N,1057
"2 HAWKSTONE ST, COTTESLOE",residential,Non Strata,7250000,2013-10-19,N,733
"7 GRANT ST, COTTESLOE",residential,Vacant,2154771,2005-01-27,N,368
"2 MARGARET ST, COTTESLOE",residential,Non Strata,5540000,2009-04-11,N,551
"241 BROOME ST, COTTESLOE",residential,Non Strata,600000,1999-04-14,N,652.556
"6 MARGARET ST, COTTESLOE",residential,Non Strata,1510000,2003-10-25,N,490.681
"8 MARGARET ST, COTTESLOE",residential,Non Strata,284000,1989-07-22,N,490.681
"10 MARGARET ST, COTTESLOE",residential,Non Strata,923000,2001-03-17,N,490.681
